"record_id","record_name","domain_id","domain_label","capability_id","capability_label","method_role","contribution_class","contribution_status","maturity","formula_version","interactive_state","can_render","formula_status","proposed_formula","implemented_formula","required_inputs","temporal_operator","spatial_operator","units","physical_rationale","intended_use_and_inference_limit","calibration_status","validation_status","event_evidence_status","source_name","source_url","bookmark_label","bookmark_latitude","bookmark_longitude","bookmark_zoom","bookmark_window_end_date","bookmark_date_role","acquisition_timestamp","acquisition_cloud_cover","display_qc_verdict","display_visible_percent","display_high_signal_percent","display_p99_luma","display_qc_generated","display_qc_interpretation_limit","audit_date","source_commit"
"SPEI","Seagrass Photosynthetic Efficiency Index","marine","Marine & Coastal","coastal-habitats","Coastal Habitat Condition","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","Water-depth corrected NDVI in shallow coastal bathymetry window","","Sentinel-2 + DESIS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Seagrass has distinct NIR-red reflectance ratio in clear shallow water. Depth correction using Lyzenga water column model reduces false positives from benthic sediment.","Monitors critical blue-carbon seagrass meadows — CO₂ sequestration baseline for coastal carbon accounting.","Uncalibrated","Not independently evaluated (below V1)","Context location only","Lyzenga (1978) / Adriatic Seagrass Monitoring","https://doi.org/10.1016/0034-4257(78)90029-7","Adriatic coast — seagrass meadow","43.52","16.45","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CD-UAI","Coastal Water Turbidity Context","marine","Marine & Coastal","water-condition-plumes","Water Condition & Plumes","variant","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Turbidity anomaly with cloud mask, plume morphology, source context, and multi-date persistence","max(0, RedGreenContrast + 0.05) × WaterGate × 6","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula is a red/green water-contrast feature. It does not contain an explicit cloud mask or establish dredging as the cause.","Highlights turbid coastal-water context for source and time-series review.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Scientific Reports study on anthropogenic change in Pearl River Estuary sediment dynamics","https://www.nature.com/articles/s41598-021-96183-0","Pearl River estuary — silt plume","22.37","113.69","10","2021-04-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","17.129","12.929","0.7171","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"MP-PDI","Floating-Debris Candidate Feature","marine","Marine & Coastal","floating-material","Floating & Surface Material","variant","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Labeled floating-material classifier with explicit natural-debris, foam, Sargassum, cloud, glint, and turbidity controls","max(0, FAI) × NonVegetationGate × LowTurbidityGate × 10","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula does not implement explicit foam or Sargassum terms and cannot identify polymer composition from Sentinel-2 alone.","Candidate floating-debris feature for comparison with FDI-based classification.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","UNEP X-Press Pearl maritime disaster report","https://www.unep.org/resources/report/x-press-pearl-maritime-disaster-sri-lanka-report-un-environmental-advisory-mission","Sri Lanka west coast — X-Press Pearl plastic pellet spill","7","79.55","10","2021-06-02","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","85.333","2.127","0.724","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"NPDefI","Red-Edge and SWIR Crop Contrast Proxy","agriculture","Agriculture & Food","crop-stress","Crop & Soil Stress","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Nitrogen-versus-phosphorus discrimination calibrated to measured tissue nutrient concentrations, with crop, cultivar, phenology, and soil-background strata","I[NDVI>0.2] × clip({[(B04−B05)/(B04+B05)] − [(B12−B11)/(B12+B11)]} + 0.5, 0, 1)","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer differences a red/red-edge contrast against a SWIR2/SWIR1 contrast over vegetated pixels. The red-edge term responds to chlorophyll status, but the SWIR term tracks canopy water and dry-matter (cellulose/lignin) absorption — it is not an anthocyanin signal, because anthocyanins absorb near 500–550 nm and have no SWIR2 feature. The separation of nitrogen from phosphorus limitation is therefore hypothesized, not demonstrated, and the live layer uses no EnMAP data.","Candidate crop-stress contrast for experiments with measured nutrient data; it does not identify which nutrient is limiting.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Iowa State nutrient deficiencies guide","https://www.agronext.iastate.edu/soilfertility/nutrientdeficiencies.html","Iowa cornfields — nutrient mapping","41.59","-93.62","11","2021-07-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","82.485","82.317","0.6155","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SCSPI","Soil Compaction Spectral Proxy Index","agriculture","Agriculture & Food","crop-stress","Crop & Soil Stress","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","[1−(B11/B12)] × (B03/B02)","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Compacted soils show distinctive SWIR ratio from reduced porosity and altered surface crust mineralogy. Applied during bare-field windows when vegetation is absent.","Identifies compaction zones in farm fields — guides subsoiling operations to restore yield.","Uncalibrated","Not independently evaluated (below V1)","Context location only","Kansas State Agricultural Extension Soil Studies","https://www.ksre.k-state.edu/","Kansas — bare wheat fields post-harvest","38.67","-98.33","11","2021-04-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"APRI","Aflatoxin Pre-Harvest Risk Index","agriculture","Agriculture & Food","crop-stress","Crop & Soil Stress","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","(LST_anomaly/σ) × [1−NDWI] × heat_accumulation_days","","ECOSTRESS + S2 + ERA5","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Aspergillus infection risk peaks when heat stress + moisture deficit + heat accumulation coincide during flowering-to-grain-fill. LST anomaly from ECOSTRESS required.","Pre-harvest aflatoxin risk maps at field scale — estimated 25% reduction could prevent millions of cancer cases globally.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","West Africa — maize growing region","12","2","9","2021-04-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PDSDI","Crop Red-Edge and Dryness Context","agriculture","Agriculture & Food","crop-stress","Crop & Soil Stress","variant","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Spatial NDVI texture normalized by crop, phenology, moisture, and management baselines","max(0, 0.6−NDRE) × max(0, B11/B08−0.5) × 4","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer contains no texture or spatial variance and cannot distinguish pesticide stress from drought, disease, nutrient limitation, or management.","Crop stress context for a labeled causal-discrimination study.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","University of Illinois Crop Sciences Research","https://cropsciences.illinois.edu/","Illinois — crop stress season","40.72","-90.22","11","2022-07-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","20.064","3.592","0.6006","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CCTTI","Cover Crop Termination Timing Index","agriculture","Agriculture & Food","agri-management","Agricultural Management","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","NDVI_cover_green × (1−soil_tillage_signal)","NDVI_cover_green × (1−soil_tillage_signal)","Sentinel-2 time series","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","Cover crops maintain distinctive NDVI signature before termination; rapid NDVI drop + BSI increase marks termination event. Timing optimizes nitrogen fixation vs. cash crop planting window.","Precision timing recommendations for cover crop termination — maximizes nitrogen credit to cash crops.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Illinois Department of Agriculture I-COVER program","https://agr.illinois.gov/resources/landwater/i-cover.html","Illinois — spring cover crop green-up","40.63","-89.59","11","2022-04-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","15.9","6.101","0.6105","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"IWUEI","Irrigation Water Use Efficiency Index","agriculture","Agriculture & Food","agri-management","Agricultural Management","research-model","C2","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","ET_ecostress / (precipitation_ERA5 + irrigation_proxy_S1)","","ECOSTRESS + S1","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","High ET relative to precipitation confirms active irrigation; SAR soil moisture change detects recent wetting events. Ratio encodes how efficiently applied water converts to crop ET.","Identifies fields wasting irrigation water — direct targets for smart irrigation system installation.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Central Valley CA — irrigation","36.72","-120.05","11","2021-07-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"WDA-CSI","Wetland-Agriculture Edge Context","agriculture","Agriculture & Food","riparian-flood","Riparian & Floodplain Condition","variant","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Multi-date crop-green anomaly × wetland drainage change × mapped peat disturbance","max(0, NDCI) × max(0, −NDWI) × OrganicSurfaceHeuristic × 10","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula is a single-scene optical conjunction. It does not measure drainage, NDWI loss, nitrogen addition, or agricultural intrusion.","Context for reviewing wetland edges before land-cover and hydrologic analysis.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Everglades Foundation on Everglades Agricultural Area peat subsidence","https://www.evergladesfoundation.org/post/everglades-restoration-water-and-climate-change","Florida Everglades — agricultural edge","25.84","-80.66","10","2021-12-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","12.215","8.739","0.7352","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"TRSI","Tailings River Shock Index","mining","Mining & Industrial","water-condition-plumes","Water Condition & Plumes","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","turbidity_jump × ferric_color_shift × mine_proximity × persistence","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Tailings releases create ferric iron turbidity plumes (red-orange discoloration in B04/B03 ratio) combined with extreme turbidity — a signature distinct from natural sediment loads.","Real-time tailings spill detection downstream of active mines — enables emergency response within days.","Uncalibrated","Not independently evaluated (below V1)","Context location only","UNEP Samarco disaster profile (2015)","https://www.unep.org/news-and-stories/story/brazil-mine-disaster","Samarco / Rio Doce runout","-20.2","-43.47","9","2015-11-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"TDR-ASI","Mining Iron-SWIR Context Proxy","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Field-informed mineral/turbidity anomaly with mine, channel, and time-series context","max(0, RedBlueContrast−0.05) × max(0, B11/B12−1) × 3","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula contains no mine-proximity term and cannot uniquely identify jarosite, sulfate, or a tailings release from Sentinel-2 ratios.","Mining-area iron/SWIR context for field-informed mineral analysis.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NASA Earth Observatory: Mining Peru's Cerro de Pasco","https://science.nasa.gov/earth/earth-observatory/mining-perus-cerro-de-pasco-144481/","Cerro de Pasco Peru — mining tailings","-10.69","-76.26","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","2021-07-24T15:17:09.024Z","0.00%","strong","56.926","11.451","0.5978","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"AMDPHI","AMD Iron-Mineral Calibration Specification","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","retired","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Rebuild required","pH_estimate = f(mineral features, field pH, water/soil context) with held-out sites","Legacy visible ratio-of-ratios retired from live display because its denominator is unstable near zero","surface reflectance | field pH | XRD/mineralogy | spectral library | held-out sites","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Iron-mineral assemblages can be associated with acidity, but the prior ratio was numerically unstable and not a direct pH measurement.","Defines a mineral and field-chemistry calibration study; no current pH retrieval is claimed.","Uncalibrated","Not independently evaluated (below V1)","Context location only","USGS Iron Mountain environmental effects profile","https://ca.water.usgs.gov/projects/iron_mountain/environment.html","Iron Mountain Mine CA — acid drainage","40.66","-122.53","12","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"TDSII","Tailings Change-Risk Calibration Model","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Calibrated model required","Coefficients fitted to documented incidents and stable control facilities","","S2 + S1 InSAR","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Calibrated event probability or declared risk score","Optical indices and deformation rates have different units and cannot be added with arbitrary weights. Predictors require normalization, temporal alignment, labels, and learned coefficients.","Specifies a prospective multi-sensor risk experiment, not a deployed failure-warning system.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Mount Polley BC — tailings dam context","52.67","-121.65","12","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"REESAI","Rare Earth Element Surface Anomaly Index","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","1−ρ(803nm)/[ρ(780nm)+interpolated_continuum]","","EnMAP + EMIT","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Nd³⁺ f-f transition absorption at 803 nm in REE carbonate/phosphate minerals. Requires EnMAP 5–10 nm spectral resolution to resolve the 803 nm feature.","Transforms REE exploration from field-campaign to satellite-first screening.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Bayan Obo Inner Mongolia — REE deposit","41.77","110.01","10","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CCRBI","Coal Combustion Residue Bioaccumulation Index","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","[(B04−B08)/(B04+B08)] × [B03/(B11+0.01)]","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Grass over CCR impoundments accumulates As/Se causing anthocyanin stress response (elevated red). Harkness et al. 2025: ""grass is a tattletale"" — phytotoxic stress reveals buried coal ash.","Maps CCR impoundment footprints and leachate migration without drilling.","Uncalibrated","Not independently evaluated (below V1)","Context location only","TVA Kingston Fossil Plant Recovery / EPA Reports","https://www.epa.gov/tn/kingston-coal-ash-spill","Tennessee coal ash site — vegetation stress","35.79","-87.55","12","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"HLPII","Heap Leach Pad Integrity Index","mining","Mining & Industrial","mining-risk","Mining Surfaces & Risk","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","SWIR2_anomaly in liner failure zone + EMIT mineral alteration downslope","","S2 + EMIT","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Liner failure causes SWIR2 elevation from leachate-altered soil mineralogy. EMIT resolves the specific alteration mineral suite. S2 alone lacks the spectral resolution.","Monitors cyanide/acid leachate containment integrity at 1,000+ active heap leach operations.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Nevada gold mining — heap leach context","40.8","-117.04","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"IERPI","Industrial Effluent River Plume Index","mining","Mining & Industrial","water-condition-plumes","Water Condition & Plumes","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","turbidity × iron_color_shift × channel_mask","","Landsat-family/Sentinel-2 context","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Industrial discharge creates turbidity and iron/chemical color shifts in river channels. Landsat captures with S2 spatial logic; S2 approximation works with same band equivalents.","Documents illegal industrial discharge events — enables enforcement action with satellite evidence.","Uncalibrated","Not independently evaluated (below V1)","Context location only","EPA Gold King Mine Response Action","https://www.epa.gov/goldkingmine","Animas River CO — Gold King Mine spill","37.27","-107.88","11","2015-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"EC-ACI","Urban Canopy-Loss & Dry-Surface Context Index","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","LST-based heat-island model = f(ECOSTRESS/thermal LST, NDVI, surface moisture, urban morphology, time-of-day)","max(0, 0.4 − NDVI) × max(0, MSI − 0.8) × 3","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer combines an NDVI deficit with a SWIR/NIR moisture-stress ratio (MSI = B11/B08) over Sentinel-2 optical bands only. It does not read ECOSTRESS or any thermal data, and the output is not a land-surface-temperature or heat-island-intensity measurement.","Screens neighborhoods for low-canopy, dry-surface context associated with urban heat exposure. Measuring heat-island intensity itself requires thermal/LST data this layer does not use.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","WMO July 2019 hottest-month analysis","https://wmo.int/media/july-matched-and-maybe-broke-record-hottest-month-analysis-began","Phoenix AZ metro — urban heat island","33.45","-112.07","11","2021-07-05","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","40.603","29.362","0.7352","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"HSAI","Low-Vegetation Bare-Surface Context","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","component","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Tree-canopy and shade-access model inside an explicit urban residential mask","max(0, 0.3−NDVI) × max(0, BSI+0.05) × 6","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula contains no urban, residential, tree-crown, or shade mask. It is a generic low-vegetation/bare-surface feature.","Input feature for an urban shade-access model with canopy and population data.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NASA VEDA Urban Heating dashboard","https://www.earthdata.nasa.gov/dashboard/data-catalog/urban-heating","Houston TX — urban heat vulnerability","29.76","-95.37","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","32.654","10.878","0.7343","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SPSRI","Solar Panel Soiling Remote Index","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","(ρ_B02 − baseline_B02) / baseline_B02 × (B11/B12)","","Sentinel-2 + Planet","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Clean PV panels have very low reflectance (~5%). Dust-coated panels show elevated reflectance. B11/B12 ratio encodes dust mineral type (silica vs. carbonate).","Optimizes cleaning crew deployment — global PV soiling loss exceeds $5B/year.","Uncalibrated","Not independently evaluated (below V1)","Context location only","NREL Solar Soiling Mitigation Studies","https://www.nrel.gov/pv/soiling.html","Saharan solar farm Algeria","30.96","2.48","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"UCIEI","Urban Cool Infrastructure Effectiveness Index","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","(1−albedo_satellite) × LST_anomaly","","S2 + ECOSTRESS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","High UCIEI = hot dark surface (old asphalt). Low UCIEI = effective cool infrastructure. Green roofs have low UCIEI despite low albedo because they convert absorbed energy to ET.","Parcel-level scorecard for cool infrastructure programs — enables evidence-based urban policy.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Chicago IL — green roof district","41.88","-87.62","12","2021-08-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PCADI","Dark Paved-Surface Context","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","RoadMask × (B02_t−B02_baseline)/B02_baseline with material and maintenance controls","I[B02,B03,B04<0.15 and NDVI<0.05] × (1−8×mean(B02,B03,B04))","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula has neither a road mask nor a temporal baseline and therefore cannot retrieve pavement age or condition.","Dark, low-vegetation surface context for a road-condition change study.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","SEMCOG 2021 pavement condition dataset","https://hub.arcgis.com/maps/SEMCOG%3A%3Apavement-condition-2021","Detroit MI — road infrastructure","42.33","-83.04","12","2021-08-02","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","9.172","2.768","0.3898","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CSDEI","Construction Site Silica Dust Emission Index","urban","Urban & Infrastructure","urban-surfaces","Urban Surface Condition","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","AOD_anomaly × construction_site_proximity × wind_vector","","TROPOMI + GIS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Silica dust from active construction sites creates AOD anomalies traceable with wind-direction analysis. Requires TROPOMI aerosol optical depth, not available as S2 WMS.","Identifies silica exposure hot zones for occupational health enforcement near construction sites.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Dubai — construction dust context","25.17","55.27","10","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"LFGVI","Landfill Vegetation-Stress Context","urban","Urban & Infrastructure","landfill-context","Landfill Surface Context","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","LandfillMask × temporal vegetation anomaly × spatial-pattern features × field gas measurements","max(0,0.5−NDVI) × max(0,0.2−RedEdgeContrast) × max(0,0.3−NDMI) × 20","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live code contains no annular/ring-pattern operator and vegetation stress is not specific to landfill gas.","Vegetation-stress context for landfill inspection when combined with geology and field gas measurements.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Freshkills Park landfill gas collection and processing","https://freshkillspark.org/landfill-engineering/collection-and-processing","Fresh Kills Landfill Staten Island NY","40.57","-74.17","13","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","38.515","20.657","0.7352","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"LRD-VSI","Vegetation-Moisture Anomaly Context","urban","Urban & Infrastructure","landfill-context","Landfill Surface Context","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","LandfillMask × downslope flow path × temporal vegetation and water anomaly","max(0,0.4−NDVI) × max(0,NDWI+0.2) × 5","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula contains no landfill boundary, downslope channel, baseline, or source attribution.","Wet, low-vegetation context for designing a field-verified leachate study.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NOAA Newtown Creek hazardous-waste profile","https://darrp.noaa.gov/hazardous-waste/newtown-creek","Newtown Creek NY — urban waterway","40.73","-73.94","13","2021-07-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","85.686","74.377","0.7358","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"TT-API","Wet Exposed-Peat Context","permafrost","Permafrost & Arctic","permafrost-change","Permafrost & Peat Change","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Multi-date peat exposure × mapped slump-edge displacement × terrain context","PeatReflectanceHeuristic × max(0,0.3−NDVI) × max(0,NDWI+0.3) × 8","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live code contains no edge-collapse or change operator and cannot establish active thermokarst expansion.","Wet exposed-organic-surface context for time-series thermokarst mapping.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","High carbon emissions from thermokarst lakes of Western Siberia","https://www.nature.com/articles/s41467-019-09592-1","West Siberia — thermokarst lakes","62","68","13","2021-09-30","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","10.873","2.325","0.7028","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
